crash_ym,crashes
2013-03,1
2013-06,1
2014-01,2
2014-02,1
2014-06,1
2014-08,1
2014-11,1
2015-01,4
2015-02,4
2015-04,3
2015-05,3
2015-06,3
2015-07,15
2015-08,447
2015-09,1524
2015-10,2808
2015-11,2606
2015-12,2416
2016-01,2765
2016-02,2539
2016-03,2916
2016-04,2902
2016-05,3091
2016-06,2831
2016-07,3316
2016-08,4461
2016-09,4709
2016-10,4995
2016-11,4720
2016-12,5052
2017-01,4363
2017-02,4109
2017-03,5105
2017-04,5024
2017-05,5847
2017-06,6212
2017-07,6758
2017-08,7685
2017-09,9038
2017-10,10022
2017-11,9515
2017-12,10108
2018-01,9532
2018-02,8730
2018-03,9319
2018-04,9648
2018-05,10714
2018-06,10602
2018-07,10367
2018-08,10212
2018-09,9931
2018-10,10402
2018-11,9474
2018-12,10021
2019-01,9116
2019-02,8625
2019-03,9748
2019-04,9446
2019-05,6189
