cause,crashes
UNABLE TO DETERMINE,107458
FOLLOWING TOO CLOSELY,34120
FAILING TO YIELD RIGHT-OF-WAY,33818
NOT APPLICABLE,16207
IMPROPER OVERTAKING/PASSING,14675
IMPROPER BACKING,13857
IMPROPER LANE USAGE,12328
FAILING TO REDUCE SPEED TO AVOID CRASH,11539
IMPROPER TURNING/NO SIGNAL,10131
DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,9534
WEATHER,5251
DISREGARDING TRAFFIC SIGNALS,4783
"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",3498
DISREGARDING STOP SIGN,3097
DISTRACTION - FROM INSIDE VEHICLE,2128
EXCEEDING AUTHORIZED SPEED LIMIT,1982
"VISION OBSCURED (SIGNS, TREE LIMBS, BUILDINGS, ETC.)",1728
EXCEEDING SAFE SPEED FOR CONDITIONS,1684
EQUIPMENT - VEHICLE CONDITION,1629
PHYSICAL CONDITION OF DRIVER,1602
