"quality_band","OBJECTID","HYDRO_TYPE","NAME","DWQREVIEW","non_empty_fields","completeness_ratio","name_length","ingested_at","ingest_year","ingest_month","min_ratio"
"LOW",1," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",2,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",3,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",4,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",5," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",6," ","BUFFALO CREEK","",2,0.5,13,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",7," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",8,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",9," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",10,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",11,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",12," ","NEW LIGHT CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",13,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",14,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",15,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",16,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",17,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",18," ","WHITE OAK CREEK","",2,0.5,15,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",19,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",20," ","LITTLE RIVER","",2,0.5,12,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",21,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",22," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",23," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",24,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",25,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",26,"LAKE/POND","WHITEOAK CREEK","",3,0.75,14,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",27," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",28,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",29,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",30,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",31," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",32,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",33,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"MEDIUM",34,"LAKE/POND","FALLS LAKE","",3,0.75,10,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",35," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",36,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",37," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",38,"RESERVOIR","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",39," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",40,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",41,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",42,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",43," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",44," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",45," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",46,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",47," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",48,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",49,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",50," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",51,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",52," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",53," ","UNNAMED","",2,0.5,7,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",54,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",55,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",56,"TUNNEL/CULVERT"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",57,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",58,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",59," ","PERRY CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",60," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",61,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",62,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",63,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",64,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",65,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",66,"LAKE/POND","UNNAMED","",3,0.75,7,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",67," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",68," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"MEDIUM",69,"STREAM/RIVER","HORSE CREEK","",3,0.75,11,"2026-02-22 08:09:58.263232",2026,2,0.6
"LOW",70," ","HORSE CREEK","",2,0.5,11,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",71," "," ","",1,0.25,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",72,"LAKE/POND"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",73,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",74,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",75,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",76,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",77,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
"LOW",78,"DAM/WEIR"," ","",2,0.5,1,"2026-02-22 08:09:58.263232",2026,2,0.0
